Similar to EAST CHINA NORMAL UNIVERSITY (N=9989)
 375. UNIVERSITY OF ZURICH | sim=0.8284
 376. UNIVERSITY OF CALIFORNIA SYSTEM | sim=0.8284
 377. SOOCHOW UNIVERSITY - CHINA | sim=0.8281
 378. EINDHOVEN UNIVERSITY OF TECHNOLOGY | sim=0.8280
 379. UNIVERSITE DE MONTPELLIER | sim=0.8277
 380. UNIVERSITY OF FREIBURG | sim=0.8273
 381. CORNELL UNIVERSITY | sim=0.8271
 382. NORMANDIE UNIV | sim=0.8270
 383. UNIVERSITY OF HONG KONG | sim=0.8268
 384. UNIVERSITY OF FRIBOURG | sim=0.8268
 385. CARLETON UNIVERSITY | sim=0.8267
 386. NANJING UNIVERSITY OF INFORMATION SCIENCE & TECHNOLOGY | sim=0.8264
 387. UNIVERSITY OF STUTTGART | sim=0.8260
 388. UNIVERSITY OF CALABRIA | sim=0.8259
 389. UNIVERSITY OF NORTH CAROLINA CHAPEL HILL | sim=0.8258
 390. CHINA UNIVERSITY OF PETROLEUM | sim=0.8253
 391. FUZHOU UNIVERSITY | sim=0.8248
 392. AARHUS UNIVERSITY | sim=0.8244
 393. BABES BOLYAI UNIVERSITY FROM CLUJ | sim=0.8243
 394. INDIAN INSTITUTE OF TECHNOLOGY (IIT) - ROORKEE | sim=0.8241
 395. ZHEJIANG NORMAL UNIVERSITY | sim=0.8238
 396. WUHAN UNIVERSITY OF TECHNOLOGY | sim=0.8231
 397. UNIVERSITY OF VALENCIA | sim=0.8229
 398. CARDIFF UNIVERSITY | sim=0.8228
 399. UNIVERSIDADE NOVA DE LISBOA | sim=0.8222
 400. UNIVERSITY OF QUEBEC MONTREAL | sim=0.8220
 401. LIMOUSIN POITOU-CHARENTES | sim=0.8216
 402. FLINDERS UNIVERSITY SOUTH AUSTRALIA | sim=0.8214
 403. UNIVERSITY OF GLASGOW | sim=0.8210
 404. UNIVERSITAT ROVIRA I VIRGILI | sim=0.8209
 405. UNIVERSITY OF BERGEN | sim=0.8207
 406. UNIVERSITY OF WARSAW | sim=0.8204
 407. DURHAM UNIVERSITY | sim=0.8203
 408. KYUNGPOOK NATIONAL UNIVERSITY (KNU) | sim=0.8200
 409. UNIVERSITI PUTRA MALAYSIA | sim=0.8199
 410. UNIVERSITY OF QUEENSLAND | sim=0.8199
 411. UNIVERSITY OF NORTH TEXAS SYSTEM | sim=0.8194
 412. UNIVERSIDAD DE MALAGA | sim=0.8189
 413. TECHNION ISRAEL INSTITUTE OF TECHNOLOGY | sim=0.8189
 414. INDIAN INSTITUTE OF TECHNOLOGY (IIT) - KHARAGPUR | sim=0.8187
 415. FRIEDRICH SCHILLER UNIVERSITY OF JENA | sim=0.8184
 416. HARVARD UNIVERSITY | sim=0.8182
 417. UNIVERSITY OF PALERMO | sim=0.8182
 418. UNIVERSITE DE MONTREAL | sim=0.8182
 419. MINISTRY OF EDUCATION & SCIENCE OF UKRAINE | sim=0.8182
 420. PACIFIC NORTHWEST NATIONAL LABORATORY | sim=0.8182
